Episode,Wins,Draws,Losses,Invalids,Mean Rewards,X_First
4000,8.5,1.1,13.7,76.6,-1.5,49.3
8000,17.5,3.0,24.7,54.8,-1.0,49.6
12000,22.1,7.3,42.5,28.1,-0.5,49.7
16000,12.4,3.5,41.8,42.2,-1.0,50.5
20000,8.3,1.8,27.2,62.7,-1.3,51.0
24000,3.4,1.3,25.8,69.5,-1.6,49.8
28000,1.0,1.5,23.4,74.2,-1.7,49.0
32000,2.4,2.5,21.3,73.9,-1.6,49.0
36000,4.8,3.8,27.5,63.9,-1.4,51.5
40000,5.7,4.2,31.8,58.4,-1.3,48.4
Min,1.0,1.1,13.7,28.1,-1.7,48.4
Max,22.1,7.3,42.5,76.6,-0.5,51.5
Mean,8.6,3.0,28.0,60.4,-1.3,49.8
