Episode,Wins,Draws,Losses,Invalids,Mean Rewards,X_First
4000,9.9,1.3,13.2,75.6,-1.4,49.8
8000,21.2,4.8,19.1,55.0,-0.8,49.9
12000,32.7,14.3,30.5,22.6,0.0,49.9
16000,36.0,12.6,30.2,21.2,0.1,50.0
20000,19.0,5.2,24.4,51.4,-0.8,48.9
24000,15.7,2.9,20.1,61.3,-1.1,50.1
28000,19.6,3.6,19.5,57.2,-0.9,49.6
32000,21.8,3.2,22.4,52.6,-0.8,51.2
36000,24.9,5.8,22.7,46.5,-0.6,50.2
40000,27.5,6.2,23.9,42.5,-0.5,49.0
Min,9.9,1.3,13.2,21.2,-1.4,48.9
Max,36.0,14.3,30.5,75.6,0.1,51.2
Mean,22.8,6.0,22.6,48.6,-0.7,49.9
