Episode,Wins,Draws,Losses,Invalids,Mean Rewards,X_First
4000,2.5,1.5,27.9,68.1,-1.6,49.7
8000,10.4,11.0,22.9,55.7,-1.0,50.5
12000,25.2,45.2,10.2,19.4,0.5,48.8
16000,35.0,59.5,2.3,3.2,1.2,49.5
20000,34.2,60.0,2.3,3.5,1.2,48.6
24000,34.1,60.5,1.8,3.5,1.2,48.4
28000,35.6,58.5,2.2,3.7,1.2,50.4
32000,35.5,59.5,1.8,3.2,1.2,48.8
36000,33.8,60.5,2.2,3.5,1.2,50.2
40000,38.2,56.9,2.0,3.0,1.3,49.7
Min,2.5,1.5,1.8,3.0,-1.6,48.4
Max,38.2,60.5,27.9,68.1,1.3,50.5
Mean,28.5,47.3,7.6,16.7,0.6,49.5
