Episode,Wins,Draws,Losses,Invalids,Mean Rewards,X_First
4000,2.9,1.4,26.8,68.9,-1.6,49.0
8000,10.6,11.7,22.8,55.0,-1.0,48.7
12000,26.8,43.0,10.0,20.2,0.5,50.5
16000,35.3,59.0,2.8,3.0,1.2,50.4
20000,32.7,62.2,1.9,3.2,1.2,50.3
24000,35.0,59.4,2.3,3.4,1.2,50.9
28000,36.8,58.1,1.6,3.4,1.2,49.3
32000,33.7,60.8,1.9,3.6,1.2,49.6
36000,36.0,58.6,2.4,3.0,1.2,49.3
40000,35.9,58.4,2.1,3.6,1.2,51.1
Min,2.9,1.4,1.6,3.0,-1.6,48.7
Max,36.8,62.2,26.8,68.9,1.2,51.1
Mean,28.6,47.3,7.5,16.7,0.6,49.9
