Episode,Wins,Draws,Losses,Invalids,Mean Rewards,X_First
4000,3.0,1.3,27.6,68.0,-1.6,49.2
8000,11.5,10.2,27.6,50.8,-1.0,50.9
12000,25.4,44.3,10.0,20.3,0.4,50.6
16000,32.2,62.0,2.4,3.4,1.2,50.2
20000,32.5,61.4,2.5,3.5,1.2,50.9
24000,35.7,58.6,2.5,3.2,1.2,51.2
28000,35.0,59.6,2.3,3.1,1.2,50.2
32000,36.0,58.9,1.9,3.2,1.2,49.8
36000,34.6,59.5,2.4,3.5,1.2,49.5
40000,35.6,58.9,2.1,3.4,1.2,49.4
Min,3.0,1.3,1.9,3.1,-1.6,49.2
Max,36.0,62.0,27.6,68.0,1.2,51.2
Mean,28.2,47.5,8.1,16.2,0.6,50.2
