Episode,Wins,Draws,Losses,Invalids,Mean Rewards,X_First
4000,12.4,0.9,10.8,75.8,-1.4,50.6
8000,17.2,4.0,30.8,48.0,-0.9,50.6
12000,27.9,32.8,18.3,21.0,0.3,50.1
16000,31.7,57.0,8.0,3.2,1.1,50.1
20000,28.9,64.2,3.2,3.7,1.1,49.2
24000,32.9,60.4,3.3,3.5,1.2,50.1
28000,29.9,64.0,2.8,3.4,1.1,49.4
32000,33.0,61.1,2.5,3.5,1.2,51.1
36000,30.6,63.6,2.3,3.6,1.2,49.6
40000,32.7,62.1,2.0,3.1,1.2,50.8
Min,12.4,0.9,2.0,3.1,-1.4,49.2
Max,33.0,64.2,30.8,75.8,1.2,51.1
Mean,27.7,47.0,8.4,16.9,0.6,50.2
