Episode,Wins,Draws,Losses,Invalids,Mean Rewards,X_First
4000,13.0,1.1,11.9,74.0,-1.3,50.5
8000,17.9,3.9,32.7,45.6,-0.8,48.0
12000,29.5,32.1,18.1,20.2,0.3,50.6
16000,33.5,53.5,9.5,3.5,1.0,50.4
20000,33.5,57.6,5.6,3.2,1.1,50.2
24000,32.7,60.7,3.4,3.2,1.2,49.8
28000,32.0,61.4,3.3,3.3,1.2,50.6
32000,31.4,63.2,2.2,3.2,1.2,50.0
36000,31.0,62.8,2.4,3.8,1.1,49.2
40000,31.0,62.4,2.9,3.7,1.1,50.1
Min,13.0,1.1,2.2,3.2,-1.3,48.0
Max,33.5,63.2,32.7,74.0,1.2,50.6
Mean,28.6,45.9,9.2,16.4,0.6,50.0
