Episodes,FirstPlayer,SecondPlayer,Wins,Draws,Losses,Invalids,MeanReward,PartialScore,Score,TrainEpisode,TrainTime,TrainStates,NewTestStates,TotalTestStates,NewEnvStates,EnvAgentStates,SumEnvStates,TestTime,TotalTestTime,alg,env_agent,train_episodes,eval_freq,obs_format,env_exploration_rate,n_envs,gamma,net_arch,filter_size,pad,r_win,r_draw,r_still_playing,r_lose,r_invalid,player_one_char,datetime,TotalTrainTime
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logs_server/logs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
logs_server/logs/1_DQN_Random_Raw_-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500.0,DQN,Random,45.48,17.48,20.24,16.8,0.55,0.38,-24.14,8000.0,0:08:00,3415.0,144.0,641.0,78.0,158.0,629.0,0:00:48,0:03:11,DQN,Random,40000.0,4000.0,RAW,0.0,1.0,1.0,"[16, 16]",0.0,0.0,2.0,1.0,0.0,-1.0,-2.0,-,2020-10-29T19:32:46,0:59:00
2500.0,Random,DQN,18.16,22.68,55.48,3.68,-0.04,-33.34,-24.14,8000.0,0:08:00,3415.0,91.0,732.0,72.0,311.0,629.0,0:00:40,0:03:11,DQN,Random,40000.0,4000.0,RAW,0.0,1.0,1.0,"[16, 16]",0.0,0.0,2.0,1.0,0.0,-1.0,-2.0,-,2020-10-29T19:32:46,0:59:00
2500.0,DQN,MinMax,0.0,66.6,33.4,0.0,0.33,33.2,-24.14,8000.0,0:08:00,3415.0,0.0,732.0,22.0,28.0,629.0,0:00:50,0:03:11,DQN,Random,40000.0,4000.0,RAW,0.0,1.0,1.0,"[16, 16]",0.0,0.0,2.0,1.0,0.0,-1.0,-2.0,-,2020-10-29T19:32:46,0:59:00
2500.0,MinMax,DQN,0.0,1.6,98.4,0.0,-0.97,-96.8,-24.14,8000.0,0:08:00,3415.0,0.0,732.0,59.0,132.0,629.0,0:00:34,0:03:11,DQN,Random,40000.0,4000.0,RAW,0.0,1.0,1.0,"[16, 16]",0.0,0.0,2.0,1.0,0.0,-1.0,-2.0,-,2020-10-29T19:32:46,0:59:00
500.0,DQN,DQN,46.6,0.0,53.4,0.0,0.4,,-24.14,8000.0,0:08:00,3415.0,0.0,732.0,0.0,732.0,629.0,0:00:17,0:03:11,DQN,Random,40000.0,4000.0,RAW,0.0,1.0,1.0,"[16, 16]",0.0,0.0,2.0,1.0,0.0,-1.0,-2.0,-,2020-10-29T19:32:46,0:59:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500.0,DQN,Random,46.4,6.04,41.0,6.56,0.45,-4.7,-61.53,4000.0,0:02:19,2640.0,166.0,166.0,84.0,84.0,385.0,0:00:44,0:02:59,DQN,Random,40000.0,4000.0,RAW,0.0,1.0,1.0,"[16, 16]",0.0,0.0,2.0,1.0,0.0,-1.0,-2.0,-,2020-10-29T20:31:47,0:57:01
2500.0,Random,DQN,27.08,5.0,61.0,6.92,-0.16,-45.26,-61.53,4000.0,0:02:19,2640.0,322.0,488.0,197.0,197.0,385.0,0:00:39,0:02:59,DQN,Random,40000.0,4000.0,RAW,0.0,1.0,1.0,"[16, 16]",0.0,0.0,2.0,1.0,0.0,-1.0,-2.0,-,2020-10-29T20:31:47,0:57:01
2500.0,DQN,MinMax,0.0,0.0,100.0,0.0,-1.0,-100.0,-61.53,4000.0,0:02:19,2640.0,0.0,488.0,9.0,9.0,385.0,0:00:42,0:02:59,DQN,Random,40000.0,4000.0,RAW,0.0,1.0,1.0,"[16, 16]",0.0,0.0,2.0,1.0,0.0,-1.0,-2.0,-,2020-10-29T20:31:47,0:57:01
2500.0,MinMax,DQN,0.0,2.8,95.44,1.76,-0.96,-96.16,-61.53,4000.0,0:02:19,2640.0,0.0,488.0,95.0,95.0,385.0,0:00:39,0:02:59,DQN,Random,40000.0,4000.0,RAW,0.0,1.0,1.0,"[16, 16]",0.0,0.0,2.0,1.0,0.0,-1.0,-2.0,-,2020-10-29T20:31:47,0:57:01
